OBJECTID,Borough,Type,Provider,Name,Location,Latitude,Longitude,Location 
998,MN,Free,LinkNYC - Citybridge,mn-05-123662,179 WEST 26 STREET,40.745968,-73.994039,"New York
(40.74596800000, -73.99403900000)"
999,MN,Free,LinkNYC - Citybridge,mn-05-123789,25 EAST 29 STREET,40.744614,-73.985069,"New York
(40.74461400000, -73.98506900000)"
1000,MN,Free,LinkNYC - Citybridge,mn-05-133354,1515 BROADWAY,40.757666,-73.985878,"New York
(40.75766600000, -73.98587800000)"
1001,MN,Free,LinkNYC - Citybridge,mn-05-133359,201 WEST 48 STREET,40.759971,-73.984342,"New York
(40.75997100000, -73.98434200000)"
1002,MN,Free,LinkNYC - Citybridge,mn-05-133361,1600 Broadway,40.760413,-73.984541,"New York
(40.76041300000, -73.98454100000)"
1003,MN,Free,LinkNYC - Citybridge,mn-05-133505,1668 Broadway,40.762593,-73.983077,"New York
(40.76259300000, -73.98307700000)"
1004,MN,Free,LinkNYC - Citybridge,mn-05-133508,1626 Broadway,40.760883,-73.984277,"New York
(40.76088300000, -73.98427700000)"
1005,MN,Free,LinkNYC - Citybridge,mn-05-133511,1606 Broadway,40.760632,-73.984283,"New York
(40.76063200000, -73.98428300000)"
1006,MN,Free,LinkNYC - Citybridge,mn-05-133538,300 Madison Ave,40.752335,-73.979738,"New York
(40.75233500000, -73.97973800000)"
1007,MN,Free,LinkNYC - Citybridge,mn-05-133550,370 Lexington Ave,40.750833,-73.976817,"New York
(40.75083300000, -73.97681700000)"
1008,MN,Free,LinkNYC - Citybridge,mn-05-133558,232 Madison Ave,40.749832,-73.98156,"New York
(40.74983200000, -73.98156000000)"
1009,MN,Free,LinkNYC - Citybridge,mn-05-133689,402 8 Avenue,40.749728,-73.99511,"New York
(40.74972800000, -73.99511000000)"
1010,MN,Free,LinkNYC - Citybridge,mn-05-134122,488 Madison Ave,40.758649,-73.975143,"New York
(40.75864900000, -73.97514300000)"
1011,MN,Free,LinkNYC - Citybridge,mn-05-134155,1611 Broadway,40.760718,-73.984634,"New York
(40.76071800000, -73.98463400000)"
1012,MN,Free,LinkNYC - Citybridge,mn-05-134168,598 Madison Ave,40.762467,-73.972358,"New York
(40.76246700000, -73.97235800000)"
1013,MN,Free,LinkNYC - Citybridge,mn-05-134185,1605 Broadway,40.760266,-73.984857,"New York
(40.76026600000, -73.98485700000)"
1014,MN,Free,LinkNYC - Citybridge,mn-05-134211,736 7 AVENUE,40.760235,-73.984012,"New York
(40.76023500000, -73.98401200000)"
1015,MN,Free,LinkNYC - Citybridge,mn-05-134222,555 Madison Ave,40.761511,-73.972745,"New York
(40.76151100000, -73.97274500000)"
1016,MN,Free,LinkNYC - Citybridge,mn-05-134283,745 7 AVENUE,40.760527,-73.983537,"New York
(40.76052700000, -73.98353700000)"
1017,MN,Free,LinkNYC - Citybridge,mn-05-134468,69 5Th Ave,40.736112,-73.993427,"New York
(40.73611200000, -73.99342700000)"
1018,MN,Free,LinkNYC - Citybridge,mn-05-134620,117 East 14Th St,40.734148,-73.98874,"New York
(40.73414800000, -73.98874000000)"
1019,MN,Free,LinkNYC - Citybridge,mn-05-134736,777 7 AVENUE,40.761142,-73.98309,"New York
(40.76114200000, -73.98309000000)"
1020,MN,Free,LinkNYC - Citybridge,mn-05-135892,300 Madison Ave,40.752545,-73.979585,"New York
(40.75254500000, -73.97958500000)"
1021,MN,Free,LinkNYC - Citybridge,mn-05-136213,382 8 Avenue,40.749122,-73.995553,"New York
(40.74912200000, -73.99555300000)"
1022,MN,Free,LinkNYC - Citybridge,mn-05-136688,302 5 AVENUE,40.74672,-73.985936,"New York
(40.74672000000, -73.98593600000)"
1023,MN,Free,LinkNYC - Citybridge,mn-05-136910,408 8 Avenue,40.74988,-73.994993,"New York
(40.74988000000, -73.99499300000)"
1024,MN,Free,LinkNYC - Citybridge,mn-05-137157,159 WEST 52 STREET,40.76221,-73.981881,"New York
(40.76221000000, -73.98188100000)"
1025,MN,Free,LinkNYC - Citybridge,mn-05-137210,410 Madison Ave,40.756742,-73.97653,"New York
(40.75674200000, -73.97653000000)"
1026,MN,Free,LinkNYC - Citybridge,mn-05-137326,243 West 27Th St,40.747905,-73.996434,"New York
(40.74790500000, -73.99643400000)"
1027,MN,Free,LinkNYC - Citybridge,mn-05-137863,458 7 AVE,40.75154,-73.990365,"New York
(40.75154000000, -73.99036500000)"
1028,MN,Free,LinkNYC - Citybridge,mn-05-138326,590 Lexington Ave,40.757793,-73.971703,"New York
(40.75779300000, -73.97170300000)"
